Variables=x,y,u,v,Potential,Velocity,Velocity_B
Zone n=839,e=1559,f=fepoint,et=triangle
0.000000	0.000000	0.999133	0.000731	-1.969469	0.999133	0.999133
1.000000	0.000000	0.717170	0.122965	-1.009250	0.727635	0.727635
2.000000	0.000000	0.687953	-0.114857	0.156085	0.697475	0.697475
3.000000	0.000000	0.999329	-0.000952	1.116375	0.999330	0.999330
3.000000	1.000000	1.001267	-0.000885	1.112733	1.001267	1.001267
0.000000	1.000000	1.001115	0.001311	-1.965838	1.001116	1.001116
0.100000	0.000000	0.998061	0.000789	-1.869572	0.998061	0.998061
0.192500	0.000000	0.996104	0.000952	-1.777344	0.996105	0.996105
0.278062	0.000000	0.993859	0.001113	-1.692213	0.993859	0.993859
0.357208	0.000000	0.991262	0.001303	-1.613658	0.991263	0.991263
0.430417	0.000000	0.988210	0.001547	-1.541201	0.988211	0.988211
0.498136	0.000000	0.984562	0.001859	-1.474404	0.984564	0.984564
0.560776	0.000000	0.980145	0.002238	-1.412871	0.980147	0.980147
0.618718	0.000000	0.974798	0.002687	-1.356235	0.974802	0.974802
0.672314	0.000000	0.968326	0.003243	-1.304166	0.968331	0.968331
0.721890	0.000000	0.960432	0.003933	-1.256358	0.960440	0.960440
0.767748	0.000000	0.950777	0.004803	-1.212539	0.950789	0.950789
0.810167	0.000000	0.938717	0.005985	-1.172466	0.938736	0.938736
0.849405	0.000000	0.923257	0.007648	-1.135941	0.923289	0.923289
0.885699	0.000000	0.903051	0.010266	-1.102807	0.903109	0.903109
0.919272	0.000000	0.877315	0.014590	-1.072966	0.877436	0.877436
0.946181	0.000000	0.838869	0.024066	-1.049900	0.839214	0.839214
0.973091	0.000000	0.771817	0.053423	-1.028117	0.773663	0.773663
1.023376	0.008921	0.754215	0.221964	-0.991890	0.786199	0.786199
1.046954	0.017795	0.839391	0.270699	-0.970697	0.881961	0.881961
1.070761	0.026501	0.902927	0.290012	-0.947401	0.948359	0.948359
1.094815	0.034914	0.958162	0.297116	-0.922405	1.003171	1.003171
1.119121	0.042899	1.007237	0.294955	-0.895971	1.049535	1.049535
1.143669	0.050329	1.049580	0.285877	-0.868354	1.087816	1.087816
1.168399	0.057170	1.085255	0.272547	-0.839834	1.118955	1.118955
1.193226	0.063435	1.115417	0.257008	-0.810654	1.144643	1.144643
1.218071	0.069147	1.141264	0.240363	-0.781007	1.166301	1.166301
1.242857	0.074331	1.163866	0.223137	-0.751057	1.185063	1.185063
1.267511	0.079014	1.184255	0.205268	-0.720931	1.201913	1.201913
1.292386	0.083272	1.202876	0.186421	-0.690228	1.217236	1.217236
1.317585	0.087100	1.219765	0.166332	-0.658840	1.231053	1.231053
1.343039	0.090468	1.234721	0.144966	-0.626880	1.243202	1.243202
1.368678	0.093347	1.247475	0.122458	-0.594472	1.253471	1.253471
1.394423	0.095713	1.257819	0.099095	-0.561751	1.261717	1.261717
1.420195	0.097557	1.265737	0.075234	-0.528863	1.267971	1.267971
1.445909	0.098880	1.271368	0.051158	-0.495954	1.272397	1.272397
1.471482	0.099689	1.274859	0.027075	-0.463162	1.275146	1.275146
